year,quarter,rpi
2009,1,100
2009,2,101.4
2009,3,105
2009,4,109
2010,1,112.1
2010,2,116.6
2010,3,121.3
2010,4,124.4
2011,1,126.4
2011,2,130.4
2011,3,135.4
2011,4,137.7
2012,1,138.5
2012,2,140.3
2012,3,143.1
2012,4,146.7
2013,1,148.6
2013,2,149.4
2013,3,148.1
2013,4,145.8
2014,1,143.5
2014,2,141.5
2014,3,139.1
2014,4,137
2015,1,134.8
2015,2,135
2015,3,134.6
2015,4,134.8
2016,1,134.7
2016,2,134.7
2016,3,134.7
2016,4,134.6
2017,1,133.9
2017,2,133.7
2017,3,132.8
2017,4,132.6
2018,1,131.6
2018,2,131.7
2018,3,131.6
2018,4,131.4
2019,1,131
2019,2,130.8
2019,3,130.9
2019,4,131.5
2020,1,131.5
2020,2,131.9
2020,3,133.9
2020,4,138.1
2021,1,142.2
2021,2,146.4
2021,3,150.6
2021,4,155.7
2022,1,159.5
2022,2,163.9
2022,3,168.1
2022,4,171.9
2023,1,173.6
2023,2,176.2
2023,3,178.5
2023,4,180.4
2024,1,183.7
2024,2,187.9
2024,3,192.9
2024,4,197.9
2025,1,201
2025,2,202.9
2025,3,203.7
2025,4,203.6
