stop_name,stop_code,type,lat,long
112 Katong (92181),92181,Bus Stop,1.3052911,103.9053478
18 Woodsville (60201),60201,Bus Stop,1.329595,103.8684755
3M Building (58301),58301,Bus Stop,1.4449676,103.8103337
3NC Singapore (26161),26161,Bus Stop,1.3219376,103.6452556
3rd Cargo Agents (95051),95051,Bus Stop,1.3752127,103.9962426
5 Science Park Drive (18101),18101,Bus Stop,1.2928284,103.7863249
8 @ Tradehub 21 (28029),28029,Bus Stop,1.3269444,103.7542042
80 Robinson Road (03071),03071,Bus Stop,1.2800076,103.8494157
888 Plaza (46699),46699,Bus Stop,1.4377385,103.7956631
ACS Independent (19089),19089,Bus Stop,1.3036222,103.7818248
APSN (44891),44891,Bus Stop,1.3740403,103.7493156
Abbott (25729),25729,Bus Stop,1.2848737,103.6282459
Academic Building South (27251),27251,Bus Stop,1.3411642,103.6837022
Admiralty Station (46779),46779,Bus Stop,1.4406604,103.8006342
Affinity At Serangoon (63201),63201,Bus Stop,1.3661819,103.8749149
Aft Architecture Dr (16199),16199,Bus Stop,1.2964493,103.7713004
Aft Hai Inn See Tp (30089),30089,Bus Stop,1.3764685,103.7346858
Aft Kent Ridge Dr (16191),16191,Bus Stop,1.2961745,103.7703638
Aft Teck Whye Walk (44969),44969,Bus Stop,1.382146,103.754489
Aft Victoria Ln (01121),01121,Bus Stop,1.3039894,103.8586787
After 888 Plaza (46399),46399,Bus Stop,1.4389799,103.7940893
After Abundant Grace Church (68039),68039,Bus Stop,1.3965216,103.8731155
After Adam Drive (41141),41141,Bus Stop,1.3352864,103.8182988
After Admiral Hill (58159),58159,Bus Stop,1.4482493,103.8223507
After Airport Road (71069),71069,Bus Stop,1.338727,103.894914
After Akzonobel (96361),96361,Bus Stop,1.3365642,103.966554
After Alexandra Road (14189),14189,Bus Stop,1.2727228,103.8040294
After Aljunied Station (81011),81011,Bus Stop,1.315337,103.88359
After Allenby Road (07319) (07319),07319,Bus Stop,1.3103005,103.8585972
After Ama Keng Road (32039),32039,Bus Stop,1.4026674,103.7009288
After Andrew Road (51051),51051,Bus Stop,1.336363,103.837044
After Andrews Avenue (58089),58089,Bus Stop,1.4587732,103.8366268
After Ang Mo Kio Avenue 1 (53099),53099,Bus Stop,1.366564,103.828364
After Ang Mo Kio Avenue 10 (54101),54101,Bus Stop,1.3572912,103.8546582
After Ang Mo Kio Avenue 2 (56261),56261,Bus Stop,1.3678406,103.8318943
After Ang Mo Kio Avenue 5 (64121),64121,Bus Stop,1.3797494,103.8764859
After Ang Mo Kio Fire Station (55211),55211,Bus Stop,1.3857763,103.8457115
After Ang Mo Kio Industrial Park 2 (66451),66451,Bus Stop,1.3787174,103.868519
After Ang Mo Kio Interchange (54391),54391,Bus Interchange,1.3715727,103.8482189
After Ang Mo Kio Station Exit A (54261),54261,Bus Stop,1.3694562,103.8508887
After Ang Mo Kio Street 64/Apple Singapore (55051),55051,Bus Stop,1.3924054,103.8489791
After Anglo-Chinese Junior College (18141),18141,Bus Stop,1.304263,103.7879176
After Assumption Eng School (43089),43089,Bus Stop,1.3669696,103.7663478
After Assyafaah Mosque (58131),58131,Bus Stop,1.4562246,103.8204704
After Attap Valley Road (47061),47061,Bus Stop,1.4560235,103.7980196
After Baker Street (68091),68091,Bus Stop,1.4078231,103.8695529
After Ballota Park (98319),98319,Bus Stop,1.3591674,103.9684532
After Balmoral Road (40199),40199,Bus Stop,1.3126061,103.8318218
After Bartley Road (61049),61049,Bus Stop,1.3419828,103.8709867
After Bartley Road (62011),62011,Bus Stop,1.3420968,103.8833922
After Bartley Station Exit B (62079),62079,Bus Stop,1.3429641,103.8796854
After Bartley Viaduct (72161),72161,Bus Stop,1.3411628,103.9163853
After Bayfront Station Exit E (03511),03511,Bus Stop,1.2834626,103.8599213
After Beach Road (01631),01631,Bus Stop,1.2969303,103.8558272
After Bedok Industrial Park C (84481),84481,Bus Stop,1.337546,103.9153179
After Bedok Industrial Park E (84271),84271,Bus Stop,1.3365627,103.9439895
After Bedok Methodist Church (85029),85029,Bus Stop,1.3226373,103.9542672
After Bedok North Street 5 (84279),84279,Bus Stop,1.3366239,103.9444442
