hawker_name,lat,long
ABC Brickworks Food Centre,1.2868658,103.8081523
Adam Food Centre,1.3241558,103.814148
Albert Centre Food Centre,1.3011485,103.8540987
Alexandra Village Food Centre,1.2862946,103.8044947
Amoy Street Food Centre,1.2793519,103.8466661
Anchorvale Hawker Centre,1.3969052,103.8883334
Balestier Market,1.3255879,103.8490317
Beauty World Food Centre,1.3422231,103.7766084
Bedok 216 Hawker Centre,1.3273809,103.9332496
Bedok 511 Food Centre,1.3331279,103.9303948
Bedok 538 Food Centre,1.3317989,103.9250603
Bedok Food Centre,1.3203675,103.9554749
Bedok Interchange Hawker Centre,1.3246655,103.9305678
Bendemeer Food Center,1.3192185,103.8629853
Beo Crescent Food Centre,1.2888373,103.8273518
Berseh Food Centre,1.3073731,103.8568623
Blk 11 Telok Blangah Crescent Market & Food Centre,1.2773843,103.8186816
Blk 117 Food Centre,1.3206954,103.8867997
Buangkok Hawker Centre,1.383473,103.8922085
Bukit Batok West Hawker Centre,1.3551042,103.7416226
Bukit Batok West Market & Food Centre,1.3483106,103.7438321
Bukit Canberra Hawker Centre,1.4489156,103.8228098
Bukit Merah Central Food Centre,1.2836267,103.8172335
Bukit Merah View Food Centre,1.285544,103.821922
Bukit Panjang Hawker Centre and Market,1.3775908,103.7725167
Changi Village Food Centre,1.3894136,103.9881685
Cheng San Food Centre,1.3726769,103.8545671
Chinatown Complex Foodcourt,1.2854002,103.8429495
Chomp Chomp Food Centre,1.3642438,103.8665463
Chong Boon Food Centre,1.3681493,103.8563655
Chong Pang Food Centre,1.4317548,103.8281069
Circuit Road Hawker Center,1.3255115,103.8849124
Circuit Road Hawker Centre,1.326577,103.885049
Circuit Road Market and Food Center,1.3278147,103.8870688
Circuit Road Market and Food Centre,1.3236329,103.8854608
Clementi Food Centre,1.3134977,103.7645408
Coffee Shop @ Blk 134,1.3343568,103.7390516
Commonwealth Crescent Food Centre,1.3069029,103.8004288
Dunman Food Centre,1.309418,103.901833
East Coast lagoon food centre,1.306868,103.9349356
Eunos Crescent Hawker Centre,1.3203167,103.9040778
Fernvale Hawker Centre,1.3917332,103.8769908
Geylang Bahru Market & Food Centre,1.3214245,103.8700349
Geylang Serai Food Market,1.3167465,103.8982156
Golden Mile Food Centre,1.3031546,103.8638712
Greenwich Food Centre,1.3676654,103.9089633
Haig Road Food Centre,1.3154275,103.8954762
Happy Hawkers,1.4526846,103.8171791
Happy Hawkers Coffeeshop,1.3378269,103.9226756
Happy Hawkers Koufu,1.3975159,103.8968279
Havelock Road Cooked Food Centre,1.287966,103.8294155
Hawker Centre @ Our Tampines Hub,1.3537755,103.9398986
Hawkers' Street,1.3538438,103.9450653
Holland Drive Market and Food Centre,1.3081903,103.7930252
Holland Village Food Centre,1.3110888,103.7948986
Jalan Batu Hawker Centre,1.3023598,103.8839037
Jalan Kukoh Food Centre,1.2882238,103.8399499
Jurong West Hawker Centre,1.3411745,103.6972615
Jurong West Street 52 Food Centre,1.3496583,103.7184261
Kai Xiang Food Center,1.3442826,103.7314955
Kallang Estate Fresh Market and Food Centre,1.3073688,103.8839879
Kampung Admiralty Hawker Centre,1.4398533,103.8006982
Katong Gourmet Centre,1.3035848,103.9005429
Keat Hong Food Centre & Market,1.3767613,103.7445946
Kebun Baru Food Centre,1.3671947,103.8400089
Kim Keat Palm Market and Food Centre,1.3353758,103.8570112
Kim San Leng Food Center,1.3124905,103.8794594
Kim San Leng Food Centre,1.435513,103.8432035
Kusu Island Hawker Centre,1.2232849,103.8608857
Lorong 4 Blk 93 Market and Hawker Centre,1.3384522,103.8495569
Margaret Drive Hawker Centre,1.2974865,103.8046858
Marine Parade Food Centre,1.3023698,103.906235
Marine Terrace market hawker center,1.3057169,103.91572
Market Street Hawker Centre,1.2847738,103.8502341
Market hall,1.2584142,103.8115656
MarketPlace @ Expo,1.3350822,103.9596161
Marsiling Lane Cooked Food Centre,1.443471,103.776969
Maxwell Food Center,1.280352,103.8447393
Mei Ling Market and Food Centre,1.2932372,103.8028827
Meng Soon Huat Food Centre,1.3610748,103.7512752
Newton Food Centre,1.3121161,103.8395278
North Bridge Road Market & Food Centre,1.3057568,103.8639033
Old Airport Road Food Centre,1.3082727,103.8858564
One Punggol Hawker Centre,1.4081893,103.905058
Pasir Panjang Food Centre,1.2759304,103.791392
Pasir Ris Central Hawker Centre,1.3733645,103.9515361
Pek Kio Market & Food Centre,1.3161265,103.8502248
Punggol Coast Hawker Centre,1.4142827,103.9081045
Quality Road Hawker Centre,1.3332345,103.7105595
Redhill Food Centre,1.2872986,103.8183277
Round Market & Food Centre,1.3456136,103.9446267
SG Hawker,1.2907602,103.8465435
Seah Im Food Centre,1.2666406,103.8191735
Sembawang Hills Food Centre,1.3723941,103.8290301
Senja Hawker Centre,1.3872085,103.7610841
Shiok Shiok Night Market,1.3007021,103.8413679
Sims Vista Market and Food Centre,1.3170251,103.8793022
Taman Jurong Market & Food Centre,1.3346035,103.7216013
Tanglin Halt Market,1.3005357,103.7977552
Tangs Market,1.3052319,103.8327888
Tanjong Pagar Market And Food Centre,1.276623,103.8431577
Teban Market & Food Centre,1.3208737,103.7424884
Teck Ghee Square Hawker Centre,1.3627019,103.8552846
Telok Blangah Food Centre,1.2733667,103.8076325
Toa Payoh Food Centre 2,1.3432855,103.846448
Toa Payoh West Market & Food Centre,1.3381665,103.8447311
West Coast Food Center,1.3039341,103.7644041
Whampoa Makan Place - Morning Market,1.3234266,103.8540646
Woodlands Street 12 Hawker Centre,1.4333448,103.7798594
Yi Jia Food Centre,1.3723042,103.8617554
Yishun Park Hawker Centre,1.4250006,103.8447733
Yuhua Place Market & Food Center,1.3453019,103.7316214
Zion Riverside Food Centre,1.2924449,103.8312121
