station_name,lat,long
Admiralty,1.4406369,103.8009592
Aljunied,1.3164515,103.8829087
Ang Mo Kio,1.3700803,103.8495228
Aviation Park,1.3701715,104.0035168
Bahar Junction,1.3458098,103.7023562
Bakau,1.3880083,103.905418
Bartley,1.3429074,103.8797036
Bayfront,1.2826023,103.8596807
Bayshore,1.3128339,103.9423087
Beach,1.2512942,103.8177659
Beauty World,1.3410913,103.7758776
Bedok,1.3239666,103.9302175
Bedok North,1.3345988,103.9183122
Bedok Reservoir,1.3366043,103.9324653
Bedok South,1.3164414,103.949051
Bencoolen,1.2985197,103.8502804
Bendemeer,1.313636,103.862725
Bishan,1.3509891,103.8490389
Boon Keng,1.3191325,103.8615549
Boon Lay,1.3385504,103.7058124
Botanic Gardens,1.3221033,103.8156468
Braddell,1.3403018,103.8469229
Bras Basah,1.296877,103.8507494
Bright Hill,1.3630633,103.834818
Buangkok,1.3829743,103.8931346
Bugis,1.2999465,103.8562753
Bukit Batok,1.3490572,103.7495906
Bukit Batok West,1.3455305,103.7397329
Bukit Gombak,1.3588929,103.7518249
Bukit Panjang,1.3779175,103.7630947
Buona Vista,1.3066258,103.790345
Caldecott,1.3373669,103.8398137
Canberra,1.4432131,103.8296301
Cantonment,1.2731071,103.8370618
Cashew,1.3693605,103.7647302
Changi Airport,1.357573,103.9885325
Cheng Lim,1.3962917,103.8937904
Chinatown,1.2846877,103.8441354
Chinese Garden,1.3423978,103.732544
Choa Chu Kang,1.3853167,103.744325
Choa Chu Kang West,1.379215,103.7399997
City Hall,1.2930474,103.8526183
Clarke Quay,1.2882602,103.8465975
Clementi,1.3161343,103.7659042
Commonwealth,1.3024428,103.7983085
Compassvale,1.394518,103.9004349
Coral Edge,1.3938496,103.9126668
Corporation,1.3529781,103.7138109
Cove,1.3994614,103.9058025
Dakota,1.3084315,103.8886155
Damai,1.4052407,103.9086177
Defu,1.3622098,103.8989695
Dhoby Ghaut,1.2996015,103.8455539
Dover,1.3114155,103.7786108
Downtown,1.2795107,103.8527907
Elias,1.3829106,103.9392805
Enterprise,1.3328021,103.7085422
Esplanade,1.2934413,103.8555276
Eunos,1.3198016,103.9028891
Expo,1.3350774,103.9626603
Farmway,1.3971948,103.8892243
Farrer Park,1.3124898,103.8543375
Farrer Road,1.3174554,103.8074893
Fernvale,1.3919037,103.8762794
Fort Canning,1.2924885,103.8443455
Founders' Memorial,1.290923,103.8689681
Gardens by the Bay,1.2792306,103.8679453
Gek Poh,1.3483266,103.6980778
Geylang Bahru,1.3215052,103.8719586
Great World,1.294615,103.8333413
Gul Circle,1.3196353,103.6606551
HarbourFront,1.265362,103.8215518
Havelock,1.2885493,103.833674
Haw Par Villa,1.2826782,103.7818531
Hillview,1.3623489,103.7674628
Holland Village,1.3117308,103.7964104
Hong Kah,1.3581119,103.7261096
Hougang,1.3708339,103.8913481
Hume,1.3544682,103.7691242
Imbiah,1.2539153,103.8194525
Jalan Besar,1.3053738,103.8555634
Jelapang,1.3866937,103.7645139
Joo Koon,1.327735,103.6782221
Jurong East,1.333108,103.7422939
Jurong Hill,1.318581,103.7102098
Jurong Pier,1.313022,103.7104354
Jurong Town Hall,1.3264148,103.7452272
Jurong West,1.3491904,103.7082891
Kadaloor,1.3995492,103.916508
Kaki Bukit,1.3350694,103.9083722
Kallang,1.3114669,103.8713388
Kangkar,1.3839286,103.9022055
Katong Park,1.2979605,103.8862178
Keat Hong,1.3786034,103.7490207
Kembangan,1.3210321,103.9129269
Kent Ridge,1.2932604,103.7846807
Keppel,1.2704618,103.830708
Khatib,1.4173597,103.8330179
King Albert Park,1.3356633,103.7838261
Kovan,1.3602101,103.8850002
Kranji,1.4252189,103.7619891
Kupang,1.3982038,103.881246
Labrador Park,1.2722512,103.8029947
Lakeside,1.34425,103.7206931
Lavender,1.3073608,103.8627743
Layar,1.3920846,103.8800319
Lentor,1.3847492,103.83637
Little India,1.3068795,103.8491743
Lorong Chuan,1.3515428,103.8639545
Loyang,1.3714803,103.9720373
MacPherson,1.326231,103.8895601
Maju,1.3281232,103.7766813
Marina Bay,1.2754714,103.85531
Marina South,1.274314,103.8628857
Marina South Pier,1.2714463,103.8628203
Marine Parade,1.302852,103.905534
Marine Terrace,1.3066048,103.9150613
Marsiling,1.4325704,103.7741243
Marymount,1.3486303,103.8395447
Mattar,1.326848,103.8833398
Maxwell,1.2806224,103.8438816
Mayflower,1.3722318,103.8368946
Meridian,1.3969373,103.9088833
Mount Pleasant,1.3285726,103.8351769
Mountbatten,1.3063929,103.8824425
Nanyang Crescent,1.3485428,103.6811253
Nanyang Gateway,1.3537812,103.6866773
Napier,1.3067154,103.8191494
Newton,1.3130638,103.8378403
Nibong,1.4118607,103.9003529
Nicoll Highway,1.299838,103.8638662
Novena,1.3205156,103.8438709
Oasis,1.4022903,103.9127339
Orchard,1.3031258,103.8314155
Orchard Boulevard,1.3031879,103.8238667
Outram Park,1.2806944,103.8392552
Pandan Reservoir,1.320439,103.7448028
Pasir Panjang,1.2761997,103.7913536
Pasir Ris,1.3712899,103.9494734
Pasir Ris East,1.3668934,103.9607704
Paya Lebar,1.3174981,103.8926569
Peng Kang Hill,1.3428682,103.6785915
Phoenix,1.3786164,103.758008
Pioneer,1.3375884,103.6974103
Potong Pasir,1.3314423,103.8690386
Prince Edward Road,1.273286,103.8470995
Promenade,1.2931139,103.8605649
Punggol,1.4053834,103.9026401
Punggol Coast,1.4149656,103.9101169
Punggol Point,1.4168517,103.9066511
Queenstown,1.2946226,103.8060366
Raffles Place,1.2834767,103.8517605
Ranggung,1.3840465,103.8973612
Redhill,1.2896482,103.8167677
Renjong,1.3867294,103.8905331
Riviera,1.394546,103.91615
Rochor,1.3039433,103.8524654
Rumbia,1.3914749,103.9059729
Sam Kee,1.4097175,103.9048838
Samudera,1.415889,103.9021396
Sengkang,1.3916988,103.8954828
Senja,1.3826778,103.7623822
Serangoon,1.3498065,103.8726779
Serangoon North,1.3704489,103.8740127
Shenton Way,1.2775343,103.8509192
Siglap,1.3095907,103.9300245
Simei,1.3431881,103.953371
Sixth Avenue,1.331095,103.7972459
Somerset,1.3002929,103.8391833
Soo Teck,1.4053322,103.8972682
Springleaf,1.3981667,103.8178577
Stadium,1.3028724,103.8753512
Stevens,1.3199757,103.8257629
Sumang,1.4084614,103.8985641
Sungei Bedok,1.3203915,103.9572601
Tai Seng,1.335401,103.8882105
Tampines,1.3542293,103.9440831
Tampines East,1.3559944,103.9547313
Tampines North,1.3693179,103.9381953
Tampines West,1.3457034,103.9385284
Tan Kah Kee,1.3259029,103.8072601
Tanah Merah,1.3271777,103.9464864
Tanjong Katong,1.2995936,103.8973782
Tanjong Pagar,1.2766096,103.8457124
Tanjong Rhu,1.2973432,103.8734592
Tavistock,1.3700401,103.8635863
Tawas,1.3506557,103.6918893
Teck Ghee,1.3656996,103.8435588
Teck Lee,1.4127821,103.9065894
Teck Whye,1.3766705,103.7536471
Telok Ayer,1.2823549,103.8482749
Telok Blangah,1.2708897,103.8098738
Tengah,1.3662254,103.7300925
Tengah Park,1.3522936,103.7368054
Tengah Plantation,1.3573609,103.733406
Thanggam,1.3973334,103.8756345
Tiong Bahru,1.2861318,103.8269565
Toa Payoh,1.332617,103.8471407
Toh Guan,1.3400465,103.7426012
Tongkang,1.3894081,103.8858267
Tuas Crescent,1.3211582,103.6489064
Tuas Link,1.3402939,103.6367718
Tuas West Road,1.3300518,103.6395694
Tukang,1.3253215,103.7092754
Turf City,1.3409016,103.7942518
Ubi,1.3299411,103.8992487
Unknown,1.3341264,103.7827916
Upper Changi,1.3419019,103.9614705
Upper Thomson,1.3546087,103.8328271
VivoCity,1.265099,103.8223324
West Coast,1.3105779,103.7579588
Woodlands,1.4359096,103.7874624
Woodlands North,1.4482886,103.7857125
Woodlands North RTS,1.4478101,103.7866218
Woodlands South,1.4267326,103.7937804
Woodleigh,1.3392017,103.8707706
Xilin,1.3286564,103.9648995
Yew Tee,1.3974608,103.7474009
Yio Chu Kang,1.3817905,103.8449359
Yishun,1.4293839,103.8350282
one-north,1.2996498,103.7873872
