month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,latitude,longitude
2017-01,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,10 TO 12,44,Improved,1979,61 years 04 months,232000,406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
2017-01,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,01 TO 03,67,New Generation,1978,60 years 07 months,250000,108 ANG MO KIO AVE 4,1.37096635222625,103.838201940326
2017-01,ANG MO KIO,3 ROOM,602,ANG MO KIO AVE 5,01 TO 03,67,New Generation,1980,62 years 05 months,262000,602 ANG MO KIO AVE 5,1.38070883044887,103.835368226602
2017-01,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1980,62 years 01 month,265000,465 ANG MO KIO AVE 10,1.3662010408294,103.857200967235
2017-01,ANG MO KIO,3 ROOM,601,ANG MO KIO AVE 5,01 TO 03,67,New Generation,1980,62 years 05 months,265000,601 ANG MO KIO AVE 5,1.38104134784496,103.835131744823
2017-01,ANG MO KIO,3 ROOM,150,ANG MO KIO AVE 5,01 TO 03,68,New Generation,1981,63 years,275000,150 ANG MO KIO AVE 5,1.37680678506745,103.842017962576
2017-01,ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1979,61 years 06 months,280000,447 ANG MO KIO AVE 10,1.36747901420817,103.855967139125
2017-01,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,04 TO 06,67,New Generation,1976,58 years 04 months,285000,218 ANG MO KIO AVE 1,1.36511908595886,103.841742478489
2017-01,ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1979,61 years 06 months,285000,447 ANG MO KIO AVE 10,1.36747901420817,103.855967139125
2017-01,ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1979,61 years 04 months,285000,571 ANG MO KIO AVE 3,1.37005501296043,103.85488055876
2017-01,ANG MO KIO,3 ROOM,534,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,62 years 01 month,288500,534 ANG MO KIO AVE 10,1.37405846295585,103.854168170426
2017-01,ANG MO KIO,3 ROOM,233,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1977,59 years 08 months,295000,233 ANG MO KIO AVE 3,1.36754924977907,103.836740628478
2017-01,ANG MO KIO,3 ROOM,235,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1977,59 years 08 months,295000,235 ANG MO KIO AVE 3,1.36682360872342,103.83649123351
2017-01,ANG MO KIO,3 ROOM,219,ANG MO KIO AVE 1,07 TO 09,67,New Generation,1977,59 years 06 months,297000,219 ANG MO KIO AVE 1,1.36598198004505,103.840654039612
2017-01,ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,62 years 01 month,298000,536 ANG MO KIO AVE 10,1.37447378519738,103.854100515826
2017-01,ANG MO KIO,3 ROOM,230,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1978,60 years,298000,230 ANG MO KIO AVE 3,1.36885445228086,103.837896397823
2017-01,ANG MO KIO,3 ROOM,570,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1979,61 years 04 months,300000,570 ANG MO KIO AVE 3,1.3697435855576,103.856023138277
2017-01,ANG MO KIO,3 ROOM,624,ANG MO KIO AVE 4,04 TO 06,68,New Generation,1980,62 years 08 months,301000,624 ANG MO KIO AVE 4,1.38156171229824,103.84000226873
2017-01,ANG MO KIO,3 ROOM,441,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1979,61 years,306000,441 ANG MO KIO AVE 10,1.36605027829032,103.854168309853
2017-01,ANG MO KIO,3 ROOM,625,ANG MO KIO AVE 9,04 TO 06,68,New Generation,1980,62 years 08 months,312000,625 ANG MO KIO AVE 9,1.38219867741921,103.841211533475
2017-01,ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,07 TO 09,67,New Generation,1978,60 years 10 months,312000,119 ANG MO KIO AVE 3,1.36956344301912,103.844698910817
2017-01,ANG MO KIO,3 ROOM,255,ANG MO KIO AVE 4,04 TO 06,73,New Generation,1977,59 years 06 months,321000,255 ANG MO KIO AVE 4,1.37065487078854,103.834630215787
2017-01,ANG MO KIO,3 ROOM,432,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,61 years,325000,432 ANG MO KIO AVE 10,1.36830996981351,103.853600305664
2017-01,ANG MO KIO,3 ROOM,211,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1977,59 years 03 months,325000,211 ANG MO KIO AVE 3,1.369196965617,103.841666636086
2017-01,ANG MO KIO,3 ROOM,584,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1979,61 years 05 months,328000,584 ANG MO KIO AVE 3,1.37071307985916,103.853497803014
2017-01,ANG MO KIO,3 ROOM,118,ANG MO KIO AVE 4,07 TO 09,74,New Generation,1978,60 years 04 months,330000,118 ANG MO KIO AVE 4,1.37329593649654,103.835475719134
2017-01,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,07 TO 09,68,New Generation,1981,63 years,330000,333 ANG MO KIO AVE 1,1.3613425564061,103.851698621454
2017-01,ANG MO KIO,3 ROOM,256,ANG MO KIO AVE 4,10 TO 12,73,New Generation,1977,59 years 06 months,335000,256 ANG MO KIO AVE 4,1.37061517595951,103.83596769452
2017-01,ANG MO KIO,3 ROOM,330,ANG MO KIO AVE 1,07 TO 09,68,New Generation,1981,63 years,338000,330 ANG MO KIO AVE 1,1.36243186402478,103.851030689651
2017-01,ANG MO KIO,3 ROOM,557,ANG MO KIO AVE 10,10 TO 12,82,New Generation,1980,62 years,366000,557 ANG MO KIO AVE 10,1.3716257020332,103.857736107527
2017-01,ANG MO KIO,3 ROOM,302,ANG MO KIO AVE 3,10 TO 12,73,New Generation,1978,60 years 03 months,373000,302 ANG MO KIO AVE 3,1.36708983179046,103.845660199054
2017-01,ANG MO KIO,3 ROOM,575,ANG MO KIO AVE 10,07 TO 09,82,New Generation,1980,62 years,375000,575 ANG MO KIO AVE 10,1.37138855070768,103.855953346739
2017-01,ANG MO KIO,3 ROOM,509,ANG MO KIO AVE 8,01 TO 03,81,New Generation,1980,62 years 05 months,390000,509 ANG MO KIO AVE 8,1.37400086510074,103.850139806283
2017-01,ANG MO KIO,4 ROOM,472,ANG MO KIO AVE 10,10 TO 12,92,New Generation,1979,61 years 06 months,400000,472 ANG MO KIO AVE 10,1.36314392666998,103.858118593427
2017-01,ANG MO KIO,4 ROOM,475,ANG MO KIO AVE 10,07 TO 09,91,New Generation,1979,61 years 06 months,400000,475 ANG MO KIO AVE 10,1.36266297827625,103.85651592319
2017-01,ANG MO KIO,4 ROOM,629,ANG MO KIO AVE 4,01 TO 03,94,New Generation,1981,63 years 09 months,403000,629 ANG MO KIO AVE 4,1.380104749906,103.840408652998
2017-01,ANG MO KIO,4 ROOM,546,ANG MO KIO AVE 10,01 TO 03,92,New Generation,1981,63 years,410000,546 ANG MO KIO AVE 10,1.37365123866689,103.857022220393
2017-01,ANG MO KIO,4 ROOM,131,ANG MO KIO AVE 3,01 TO 03,98,New Generation,1979,61 years 01 month,425888,131 ANG MO KIO AVE 3,1.37101536386003,103.841800323712
2017-01,ANG MO KIO,4 ROOM,254,ANG MO KIO AVE 4,04 TO 06,97,New Generation,1977,59 years 06 months,430000,254 ANG MO KIO AVE 4,1.37020344042146,103.834687722549
2017-01,ANG MO KIO,4 ROOM,470,ANG MO KIO AVE 10,04 TO 06,92,New Generation,1979,61 years 10 months,435000,470 ANG MO KIO AVE 10,1.36408620030202,103.856692408941
2017-01,ANG MO KIO,4 ROOM,601,ANG MO KIO AVE 5,04 TO 06,91,New Generation,1980,62 years 05 months,435000,601 ANG MO KIO AVE 5,1.38104134784496,103.835131744823
2017-01,ANG MO KIO,4 ROOM,463,ANG MO KIO AVE 10,04 TO 06,92,New Generation,1980,62 years 01 month,440000,463 ANG MO KIO AVE 10,1.36694793518613,103.857487648675
2017-01,ANG MO KIO,4 ROOM,207,ANG MO KIO AVE 1,04 TO 06,97,New Generation,1976,58 years 06 months,460000,207 ANG MO KIO AVE 1,1.36582089504381,103.842847772078
2017-01,ANG MO KIO,4 ROOM,304,ANG MO KIO AVE 1,10 TO 12,97,New Generation,1977,59 years 04 months,518000,304 ANG MO KIO AVE 1,1.36628642816469,103.8449947612
2017-01,ANG MO KIO,4 ROOM,646,ANG MO KIO AVE 6,10 TO 12,99,New Generation,1980,62 years 11 months,518000,646 ANG MO KIO AVE 6,1.37939517687868,103.843763599411
2017-01,ANG MO KIO,4 ROOM,328,ANG MO KIO AVE 3,10 TO 12,98,New Generation,1978,60 years 08 months,560000,328 ANG MO KIO AVE 3,1.36661793708764,103.84786688518
2017-01,ANG MO KIO,4 ROOM,588C,ANG MO KIO ST 52,13 TO 15,90,DBSS,2011,93 years 08 months,688000,588C ANG MO KIO ST 52,1.37183157010083,103.853670978083
2017-01,ANG MO KIO,4 ROOM,588D,ANG MO KIO ST 52,19 TO 21,91,DBSS,2011,93 years 07 months,730000,588D ANG MO KIO ST 52,1.37175400663025,103.8538833087
2017-01,ANG MO KIO,4 ROOM,588D,ANG MO KIO ST 52,22 TO 24,91,DBSS,2011,93 years 07 months,756000,588D ANG MO KIO ST 52,1.37175400663025,103.8538833087
2017-01,ANG MO KIO,5 ROOM,101,ANG MO KIO AVE 3,01 TO 03,117,Standard,1978,60 years 01 month,500000,101 ANG MO KIO AVE 3,1.37026158388486,103.839467898898
2017-01,ANG MO KIO,5 ROOM,430,ANG MO KIO AVE 3,13 TO 15,119,Improved,1979,61 years,668000,430 ANG MO KIO AVE 3,1.36899287777802,103.85276134968
2017-01,ANG MO KIO,5 ROOM,520,ANG MO KIO AVE 5,19 TO 21,118,Improved,1980,62 years 08 months,668000,520 ANG MO KIO AVE 5,1.3734054063175,103.851134219635
