school_name,school_type,lat,long
3dsense Media School,School,1.2892813,103.8470822
ACC EduHub,School,1.3027978,103.8403767
AGrader Learning Centre,School,1.286091,103.8290983
APSN Chaoyang School,School,1.3731758,103.8586787
AWWA Sch,School,1.3727063,103.878799
AWWA School @ Bedok,School,1.3354501,103.9203001
Academy of Singapore Teachers,School,1.27602,103.8032399
Acetek baking school,School,1.2842802,103.816058
Admin Building,University,1.2962668,103.8518539
Admiralty Primary School,School,1.4430232,103.8003302
Admiralty Secondary School,School,1.4458666,103.8027252
Aeroviation,School,1.3147324,103.8656621
Ahmad Ibrahim Primary School,School,1.4337487,103.8327046
Ahmad Ibrahim Secondary School,School,1.4360786,103.8301517
Ai Tong School,School,1.3606274,103.8330304
Air Traffic Management Research Institute,School,1.3473411,103.6823534
Al-Khairiah Islamic School,School,1.3150301,103.9062427
Alexandra Primary School,School,1.2913349,103.8242652
Amar Kids,School,1.3610749,103.9649883
Anatta Culinary Academy,School,1.2784252,103.8410997
Anchor Green Primary School,School,1.390712,103.8871411
Anderson Primary School,School,1.3845887,103.8414171
Anderson Secondary School,School,1.3750031,103.8517111
Anderson Serangoon Junior College,College/JC,1.3645902,103.887589
Ang Mo Kio Primary School,School,1.3690707,103.83915
Ang Mo Kio Secondary School,School,1.3677377,103.8426755
Anglican High School,School,1.3302335,103.9418653
Anglo-Chinese Junior College,College/JC,1.3026556,103.7855901
Anglo-Chinese School (Barker),School,1.3197108,103.8355705
Anglo-Chinese School (Independent),College/JC,1.3031182,103.7804365
Anglo-Chinese School (Independent) Boarding School,College/JC,1.3016855,103.782047
Anglo-Chinese School (International),School,1.3078206,103.7979732
Anglo-Chinese School (Junior),School,1.3090294,103.8413825
Anglo-Chinese School (Primary),School,1.3186697,103.8350521
Angsana Primary School,School,1.3636059,103.9388742
Art Zillions,School,1.3048454,103.9040924
Art Zone,School,1.3037821,103.9029959
Artary Academy of Children's Art,School,1.4103158,103.9059361
Artlette,School,1.3717566,103.847908
Ascensia Academy,School,1.2889535,103.8224108
Asia Research Institute,School,1.2960174,103.7722394
Assumption English School,School,1.3689351,103.766559
Assumption Pathway School,School,1.3701492,103.7662835
Australian International School Singapore,School,1.348288,103.8591059
BCA Academy of the Built Environment,College/JC,1.3453442,103.85844
Bartley Secondary School,School,1.3404203,103.8826276
Beacon Primary School,School,1.3838058,103.7737949
Beatty Secondary School,School,1.341513,103.8522713
Bedok Green Primary School,School,1.323975,103.9378199
Bedok Green Secondary School,School,1.333992,103.9352387
Bedok South Secondary School,School,1.3253794,103.9510303
Bedok View Secondary School,School,1.3249361,103.9434704
Bendemeer Primary School,School,1.3222891,103.8650775
Bendemeer Secondary School,School,1.3245019,103.8604843
Bendemeer Secondary badminton court,School,1.324255,103.8599845
Bethesda Kindergarten,School,1.316684,103.918294
Big Bubble Dive Centre,School,1.3048653,103.7979765
Blangah Rise Primary School,School,1.2764363,103.8088211
Blk 390,College/JC,1.356464,103.9575308
Blue House International school,School,1.3362049,103.7966419
Boon Lay Garden Primary School,School,1.3429463,103.7129718
Boon Lay Secondary School,School,1.3427476,103.7016903
Bowen Secondary School,School,1.3706966,103.8776201
Brenner Centre For Molecular Medicine,University,1.2948023,103.7806026
Brighton Montessori,School,1.3001267,103.8926345
Broadrick Secondary School,School,1.3073315,103.8868521
Buddhist College of Singapore,College/JC,1.3626012,103.836223
Bukit Batok Secondary School,School,1.3485138,103.7406687
Bukit Merah Secondary School,School,1.2859387,103.8129616
Bukit Panjang Government High School,School,1.3820915,103.7382834
Bukit Panjang Primary School,School,1.3734934,103.7697771
Bukit Timah Primary School,School,1.3377699,103.7668605
Bukit View Primary School,School,1.3455702,103.7534837
Bukit View Secondary School,School,1.3456513,103.7521921
CHIJ (Katong) Primary School,School,1.3064236,103.9108336
CHIJ (Kellock) Primary School,School,1.2747625,103.8279603
CHIJ (Our Lady Queen of Peace) Primary School,School,1.3664156,103.7680737
CHIJ (Our Lady of Good Counsel) Primary School,School,1.3577706,103.8639897
CHIJ (Our Lady of the Nativity) Primary School,School,1.3731641,103.8976889
CHIJ (Toa Payoh) Primary School,School,1.3331413,103.8424184
CHIJ (Toa Payoh) Secondary School,School,1.3325449,103.8427272
CHIJ Katong Convent School,School,1.3065233,103.9176972
CHIJ St Joseph's Convent,School,1.3918581,103.9025017
CHIJ St Nicholas Girls' School,School,1.3733456,103.8342454
CHIJ St. Theresa's Convent,School,1.2759831,103.8221154
Canadian International School,School,1.3456125,103.7268276
Canberra Primary School,School,1.4508595,103.8155826
Canberra Secondary School,School,1.4536945,103.8142456
Canossa Catholic Primary School,School,1.3265382,103.881977
Cantonment Primary School,School,1.27582,103.8398797
Casablanca,College/JC,1.4301866,103.7870693
Casuarina Primary School,School,1.3727252,103.9571725
Catholic High School,School,1.3547674,103.8449843
Catholic Junior College,College/JC,1.3253108,103.8352885
Catholic Junior College Hostel,College/JC,1.324814,103.8363008
Cedar Girls' Secondary School,School,1.3346962,103.8742241
Cedar Primary School,School,1.3354945,103.8753246
Cendana College,College/JC,1.3078628,103.7723065
Centre Stage School of the Arts,School,1.2964558,103.7941745
Changkat Changi Secondary School,School,1.3405162,103.9530604
Changkat Primary School,School,1.3399698,103.9523316
Chatsworth International School Singapore (Bukit Timah Campus)),School,1.3452742,103.791751
Chess Academy (Singapore),School,1.3040597,103.9016351
Chin Lien Bible Seminary,School,1.3111407,103.8917376
Chongfu Primary School,School,1.438792,103.8392866
Chongzheng Primary School,School,1.3505294,103.9509136
Christ Church Secondary School,School,1.4267733,103.7930548
Chua Chu Kang Primary School,School,1.3777928,103.7418858
Chua Chu Kang Secondary School (Main Campus),School,1.3832202,103.7551515
Chung Cheng High School (Main),School,1.305495,103.8916399
Chung Cheng High School (Yishun),School,1.4190464,103.8371868
Citikids Academy,School,1.2817516,103.8474726
